track,condition_class,condition,time_h,endpoint,value,unit,mean_or_median,error,n,organism_bucket,organism,model,assay,pmid,doi,figure_table,notes
Track C,BSEP-loss,"Chlorpromazine + BA mix, PHH spheroid",192,Cholestatic index CIx (ATP-based),NOT_REPORTED,ratio (CIx<=0.8 = cholestatic risk),mean,NOT_REPORTED,NOT_REPORTED,HepaRG,human,3D spheroids: primary human hepatocytes (PHH) & HepaRG,cellular ATP content -> cholestatic index (CIx),27759057,10.1038/srep35434,abstract/Fig (specific CIx numeric NOT fully extractable from text),"[Track C]; substrate=drug +/- concentrated bile-acid mixture; temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5069690/; usable_for_human_wholecell=partial (human PHH/HepaRG spheroids; endpoint = ATP viability ratio, day-scale, not intracellular BA curve); 8-day repeated exposure; synergistic BA toxicity more pronounced at 14 days"
Track C,BSEP-loss,"Chlorpromazine + BA mix, HepaRG spheroid",336,Cholestatic index CIx (ATP-based),0.66,ratio,mean,0.03,NOT_REPORTED,HepaRG,human,3D spheroids: primary human hepatocytes (PHH) & HepaRG,cellular ATP content -> cholestatic index (CIx),27759057,10.1038/srep35434,body text,"[Track C]; substrate=drug +/- concentrated bile-acid mixture; temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5069690/; usable_for_human_wholecell=partial (human PHH/HepaRG spheroids; endpoint = ATP viability ratio, day-scale, not intracellular BA curve); 14-day repeated exposure; CIx=0.66+/-0.03 -> cholestatic risk only after 14d"
Track C,BSEP-loss,Cyclosporin A / bosentan +/- 30x BA mix,24,Total ATP content (viability),NOT_REPORTED,RLU / % control,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,HepaRG,human,"HepaRG cells (2D), repeated-dose",ATP content (ATPlite) -> CIx,34681664,10.3390/ijms222011005,"Figs (numeric values in figures, paywalled)","[Track C]; substrate=drug +/- 30x concentrated BA mix; temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8537720/; usable_for_human_wholecell=partial (HepaRG line, not primary; endpoint ATP at day-scale); ATP measured at 1 day; 30x BA mix = 39.6 uM GCDCA + others; numeric NOT_REPORTED"
Track C,BSEP-loss,Cyclosporin A / bosentan +/- 30x BA mix,168,Total ATP content (viability),NOT_REPORTED,RLU / % control,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,HepaRG,human,"HepaRG cells (2D), repeated-dose",ATP content (ATPlite) -> CIx,34681664,10.3390/ijms222011005,"Figs (numeric values in figures, paywalled)","[Track C]; substrate=drug +/- 30x concentrated BA mix; temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8537720/; usable_for_human_wholecell=partial (HepaRG line, not primary; endpoint ATP at day-scale); ATP measured at 7 days; 30x BA mix = 39.6 uM GCDCA + others; numeric NOT_REPORTED"
Track C,BSEP-loss,Cyclosporin A / bosentan +/- 30x BA mix,336,Total ATP content (viability),NOT_REPORTED,RLU / % control,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,HepaRG,human,"HepaRG cells (2D), repeated-dose",ATP content (ATPlite) -> CIx,34681664,10.3390/ijms222011005,"Figs (numeric values in figures, paywalled)","[Track C]; substrate=drug +/- 30x concentrated BA mix; temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8537720/; usable_for_human_wholecell=partial (HepaRG line, not primary; endpoint ATP at day-scale); ATP measured at 14 days; 30x BA mix = 39.6 uM GCDCA + others; numeric NOT_REPORTED"
Track C,BSEP-loss,Cyclosporin A / bosentan +/- 30x BA mix,504,Total ATP content (viability),NOT_REPORTED,RLU / % control,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,HepaRG,human,"HepaRG cells (2D), repeated-dose",ATP content (ATPlite) -> CIx,34681664,10.3390/ijms222011005,"Figs (numeric values in figures, paywalled)","[Track C]; substrate=drug +/- 30x concentrated BA mix; temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8537720/; usable_for_human_wholecell=partial (HepaRG line, not primary; endpoint ATP at day-scale); ATP measured at 21 days; 30x BA mix = 39.6 uM GCDCA + others; numeric NOT_REPORTED"
Track C,BSEP-loss,Cyclosporin A / bosentan +/- 30x BA mix,672,Total ATP content (viability),NOT_REPORTED,RLU / % control,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,HepaRG,human,"HepaRG cells (2D), repeated-dose",ATP content (ATPlite) -> CIx,34681664,10.3390/ijms222011005,"Figs (numeric values in figures, paywalled)","[Track C]; substrate=drug +/- 30x concentrated BA mix; temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8537720/; usable_for_human_wholecell=partial (HepaRG line, not primary; endpoint ATP at day-scale); ATP measured at 28 days; 30x BA mix = 39.6 uM GCDCA + others; numeric NOT_REPORTED"
Track E,Control/baseline,"GCDC exposure, dose-response",6,cell_death_necrosis,cell death readily apparent (qualitative); little/no death below 3 mM GCDC,qualitative,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,HepaRG,human,HepaRG (differentiated) & primary human hepatocytes,LDH release + PI uptake + morphology,26176423,10.1111/bcpt.12449,"Figs (dose-response, cell death); text results",[Track E]; marker=LDH release / propidium iodide uptake; co_measured_markers=caspase-3 activity; JNK phospho; PI; LDH; study_defined_threshold=NOT_REPORTED; substrate_condition=GCDC (glycochenodeoxycholate); also biliary vs serum BA mixtures; temperature=37C; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4713390/; usable_for_human_wholecell=directly usable (human PHH & HepaRG); Human PHH & HepaRG undergo predominantly oncotic NECROSIS not apoptosis with GCDC; minimal caspase-3 activation. Contrasts rat apoptosis. Exact per-timepoint numeric values only in figures = NOT_REPORTED.
Track E,Control/baseline,TCA exposure,6,proinflammatory_response,no significant increase (unlike murine hepatocytes),qualitative,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,HepaRG,human,HepaRG,RT-PCR,26176423,10.1111/bcpt.12449,Figs (RT-PCR),[Track E]; marker=IL-8 / cytokine mRNA; co_measured_markers=cell death (LDH/PI); study_defined_threshold=NOT_REPORTED; substrate_condition=TCA 500 uM; temperature=37C; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4713390/; usable_for_human_wholecell=directly usable (HepaRG proxy for human); HepaRG resembles human not murine inflammatory phenotype.
Track E,Control/baseline,GCDC 2 mM,6,JNK_activation,JNK activated (phospho-JNK formed),qualitative,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,HepaRG,human,HepaRG,western blot,26176423,10.1111/bcpt.12449,Figs (western),[Track E]; marker=phospho-JNK; co_measured_markers=necrosis (LDH/PI); study_defined_threshold=NOT_REPORTED; substrate_condition=GCDC 2 mM; temperature=37C; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4713390/; usable_for_human_wholecell=directly usable (HepaRG); JNK activation NOT required for cell death (SP600125 did not protect against GCDC necrosis).
