track,condition_class,condition,time_h,endpoint,value,unit,mean_or_median,error,n,organism_bucket,organism,model,assay,pmid,doi,figure_table,notes
Track A,Control/baseline,IL-6 / IL-1b treatment of sandwich-cultured human hepatocytes,NOT_REPORTED,direction of protein change,significantly increased (protein) despite mRNA decrease,direction (numeric fold NOT_REPORTED in text),NR,NR,NR,human,human,sandwich-cultured primary human hepatocytes,absolute protein (LC-MS/MS) + mRNA,20702406,10.1074/jbc.M110.107805,Abstract/Results/figures,[Track A]; transporter=BSEP; gene=ABCB11; quantity_type=total abundance change (cytokine); substrate_condition=proinflammatory cytokines; temperature=NR; url=https://www.ncbi.nlm.nih.gov/pmc/articles/?term=20702406; usable_for_human_wholecell=yes (human hepatocytes; protein-mRNA discordance; numeric NOT_REPORTED); BSEP protein UP by IL-6/IL-1b while mRNA DOWN (discordance). Species-different from rat.
Track A,Control/baseline,see notes,NOT_REPORTED,absolute protein abundance,NOT_REPORTED,fmol/ug membrane protein (NOT_REPORTED - paywalled body),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,cultured primary human hepatocytes,targeted LC-MS/MS,21979928,10.1124/dmd.111.042275,Tables (not in accessible full text),[Track A]; transporter=BSEP; gene=ABCB11; quantity_type=total abundance (absolute); substrate_condition=none/see notes; temperature=NOT_REPORTED; url=https://doi.org/10.1124/dmd.111.042275; usable_for_human_wholecell=yes (human primary target) - value NOT_REPORTED; Absolute quantification & differential expression in cultured PHH. Absolute values NOT accessible (Elsevier paywall).
Track A,Control/baseline,see notes,NOT_REPORTED,absolute protein abundance,NOT_REPORTED,fmol/ug membrane protein (NOT_REPORTED - paywalled body),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,human liver (17 donors),targeted LC-MS/MS QconCAT,21994437,10.1124/dmd.111.042259,Tables (not in accessible full text),[Track A]; transporter=BSEP; gene=ABCB11; quantity_type=total abundance (absolute); substrate_condition=none/see notes; temperature=NOT_REPORTED; url=https://doi.org/10.1124/dmd.111.042259; usable_for_human_wholecell=yes (human primary target) - value NOT_REPORTED; Ohtsuki/Terasaki: simultaneous absolute quantification transporters+CYP+UGT in human liver. Absolute fmol/ug NOT accessible (Elsevier paywall body).
Track A,Control/baseline,see notes,NOT_REPORTED,absolute protein abundance,NOT_REPORTED,fmol/ug membrane protein (NOT_REPORTED - paywalled body),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,human/dog/monkey/rat liver,targeted LC-MS/MS proteomics,25534768,10.1124/dmd.114.061580,Tables (not in accessible full text),[Track A]; transporter=BSEP; gene=ABCB11; quantity_type=total abundance (absolute); substrate_condition=none/see notes; temperature=NOT_REPORTED; url=https://doi.org/10.1124/dmd.114.061580; usable_for_human_wholecell=yes (human primary target) - value NOT_REPORTED; Interspecies hepatobiliary transporter abundance. Human + rat absolute fmol/ug in tables NOT accessible (Elsevier paywall body).
Track A,Control/baseline,paired human liver tissue vs isolated hepatocytes (same donors),NOT_REPORTED,relative abundance (hepatocytes vs tissue),2-5 fold lower in isolated hepatocytes than liver tissue,fold (absolute fmol/ug membrane in Supplementary tables = NOT_REPORTED in main text),NR,NR,NR,human,human,"human liver tissue AND isolated hepatocytes (global proteomics, TPA)","global (label-free) LC-MS/MS, total protein approach",26167961,10.1021/acs.jproteome.5b00334,Figure 3C; absolute values in Supporting Information,"[Track A]; transporter=BSEP; gene=ABCB11; quantity_type=total abundance (liver vs isolated hepatocytes); substrate_condition=none; temperature=NR; url=https://pubs.acs.org/doi/10.1021/acs.jproteome.5b00334; usable_for_human_wholecell=yes (human, paired total; absolute values NOT_REPORTED in main text - see SI); Hepatocyte-specific transporters (OATP1B1/1B3, NTCP, BSEP) 2-5x lower in isolated hepatocytes vs tissue. Hepatocytes = 24.0+/-4.2% of liver membrane protein mass."
Track A,Control/baseline,human pediatric (n=69) + adult (n=41) liver; ontogeny,NOT_REPORTED,age-association of protein abundance,not significantly age-dependent (Table 1),fmol/ug membrane protein (absolute values in Table 1 = NOT_REPORTED in accessible text),NR,NR,pediatric=69;adult=41,human,human,human liver tissue (membrane),targeted LC-MS/MS (Waters Xevo TQS),27301780,10.1002/cpt.409,Table 1,"[Track A]; transporter=BSEP; gene=ABCB11; quantity_type=total abundance (age dependence); substrate_condition=none; temperature=NR; url=https://www.ncbi.nlm.nih.gov/pmc/articles/?term=27301780; usable_for_human_wholecell=yes (human liver absolute; but numeric BSEP value NOT_REPORTED in accessible text); BSEP, BCRP, MRP2, MATE1 expression NOT affected by age. Absolute fmol/ug in Table 1 (not in extractable text)."
Track A,Control/baseline,"HCV infection, Child-Pugh class A/B/C (n=30/21/7)",NOT_REPORTED,direction of change vs control,no significant change,direction (numeric fold NOT_REPORTED),NR,NR,A=30;B=21;C=7,human,human,HCV-infected human liver tissue,LC-MS/MS protein abundance + qRT-PCR,35887291,10.3390/ijms23147947,Abstract/Results,[Track A]; transporter=BSEP; gene=ABCB11; quantity_type=total abundance change (disease); substrate_condition=HCV cirrhosis; temperature=NR; url=https://www.ncbi.nlm.nih.gov/pmc/articles/?term=35887291; usable_for_human_wholecell=proxy (disease direction; absolute values NOT_REPORTED); BSEP protein NOT significantly affected by HCV (contrasts Wang et al. which reported decrease). Absolute fmol = NOT_REPORTED in text.
Track A,Control/baseline,"human isolated hepatocytes, birth to adult",NOT_REPORTED,age-association; class-3 ontogeny (increases after birth),increases with age (Age50 ~1 d),fmol/ug (absolute values in figures NOT_REPORTED in text),NR,NR,NR,human,human,human isolated hepatocytes,targeted LC-MS/MS proteomics,39160670,10.1002/cpt.3409,Results text / figures,"[Track A]; transporter=BSEP; gene=ABCB11; quantity_type=total abundance (isolated hepatocytes, ontogeny); substrate_condition=none; temperature=NR; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11979781/; usable_for_human_wholecell=yes (human hepatocytes; numeric NOT_REPORTED in accessible text); BSEP = class 3 (low at birth, rises to adult). BSEP correlates (r>0.7) with MCT8, OATP1B3, OCT1, THTR2, UGT1A4."
Track A,Control/baseline,normal human liver,NOT_REPORTED,RNA abundance,75.3,nTPM (normalized transcripts per million),NR,NR,NR,human,human,human liver (bulk RNA-seq consensus),RNA-seq (HPA/GTEx/FANTOM consensus),NOT_REPORTED,NOT_REPORTED,"HPA tissue atlas (Ensembl ENSG00000073734, UniProt O95342)","[Track A]; transporter=BSEP; gene=ABCB11; quantity_type=RNA tissue expression (semiquant); substrate_condition=none; temperature=NR; url=https://www.proteinatlas.org/ENSG00000073734-ABCB11/tissue; usable_for_human_wholecell=proxy (mRNA, not protein abundance); RNA tissue-enriched in liver; protein IF intensity (liver) = 11407569.1 (arbitrary units, semiquant). Subcellular: plasma membrane."
Track A,Control/baseline,TNF-a / IL-6 / IL-1b treatment of sandwich-cultured human hepatocytes,NOT_REPORTED,direction of protein change,significantly down-regulated (all 3 cytokines),direction (numeric fold NOT_REPORTED in text),NR,NR,NR,human,human,sandwich-cultured primary human hepatocytes,absolute protein (LC-MS/MS) + mRNA,20702406,10.1074/jbc.M110.107805,Abstract/Results/figures,"[Track A]; transporter=MRP2; gene=ABCC2; quantity_type=total abundance change (cytokine); substrate_condition=proinflammatory cytokines (cholestasis/inflammation model); temperature=NR; url=https://www.ncbi.nlm.nih.gov/pmc/articles/?term=20702406; usable_for_human_wholecell=yes (human hepatocytes, condition-response; numeric fold NOT_REPORTED in text); MRP2 protein AND mRNA down by TNF-a, IL-6, IL-1b."
Track A,MRP2-loss,see notes,NOT_REPORTED,absolute protein abundance,NOT_REPORTED,fmol/ug membrane protein (NOT_REPORTED - paywalled body),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,cultured primary human hepatocytes,targeted LC-MS/MS,21979928,10.1124/dmd.111.042275,Tables (not in accessible full text),[Track A]; transporter=MRP2; gene=ABCC2; quantity_type=total abundance (absolute); substrate_condition=none/see notes; temperature=NOT_REPORTED; url=https://doi.org/10.1124/dmd.111.042275; usable_for_human_wholecell=yes (human primary target) - value NOT_REPORTED; Same; MRP2 absolute NOT_REPORTED in accessible text (paywall).
Track A,MRP2-loss,see notes,NOT_REPORTED,absolute protein abundance,NOT_REPORTED,fmol/ug membrane protein (NOT_REPORTED - paywalled body),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,human liver (17 donors),targeted LC-MS/MS QconCAT,21994437,10.1124/dmd.111.042259,Tables (not in accessible full text),[Track A]; transporter=MRP2; gene=ABCC2; quantity_type=total abundance (absolute); substrate_condition=none/see notes; temperature=NOT_REPORTED; url=https://doi.org/10.1124/dmd.111.042259; usable_for_human_wholecell=yes (human primary target) - value NOT_REPORTED; Same study; MRP2 absolute fmol/ug NOT_REPORTED in accessible text (paywall).
