track,condition_class,condition,time_h,endpoint,value,unit,mean_or_median,error,n,organism_bucket,organism,model,assay,pmid,doi,figure_table,notes
Track B,Control/baseline,basal FRAP (rapid phase),NOT_REPORTED,fast recovery phase saturation time (BSEP-YFP FRAP at canalicular membrane),1-1.5,min,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,mouse,mouse,collagen sandwich-cultured mouse hepatocytes (control),"FRAP, live confocal, biphasic fit F=A(1-e^-kt)+Bt",24643070,10.1371/journal.pone.0091921,"Results 'Taurocholate stimulates...'; Fig 2E,3","[Track B]; substrate_condition=basal; temperature=37C (imaging); direct_url=https://pubmed.ncbi.nlm.nih.gov/24643070/; usable_for_human_wholecell=mouse proxy; Recovery biphasic: rapid phase saturates in 1-1.5 min (lateral/local exchange, microtubule-independent); slow linear phase (microtubule-dependent vesicular delivery) did not saturate within 12 min observation"
Track B,Control/baseline,microtubule-dependent slow phase (basal),NOT_REPORTED,slow FRAP phase saturation within observation window,not reached (unsaturated at 12 min),min,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,mouse,mouse,sandwich-cultured mouse hepatocytes,"FRAP + nocodazole (5 ug/ml, 60 min, 4C)",24643070,10.1371/journal.pone.0091921,Fig 3,[Track B]; substrate_condition=basal vs nocodazole; temperature=37C imaging; direct_url=https://pubmed.ncbi.nlm.nih.gov/24643070/; usable_for_human_wholecell=mouse proxy; Nocodazole abolished slow linear phase (parameter B) without affecting rapid phase; slow phase = microtubule-dependent vesicular ABCB11 delivery
Track B,Control/baseline,taurocholate / cAMP stimulation,NOT_REPORTED,acceleration of ABCB11 trafficking to canalicular membrane,accelerated (qualitative),qualitative,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,mouse,mouse,sandwich-cultured mouse hepatocytes (control vs LKB1-KO),"FRAP, particle tracking, live imaging",24643070,10.1371/journal.pone.0091921,Results/Fig,"[Track B]; substrate_condition=taurocholate or cAMP; temperature=37C imaging; direct_url=https://pubmed.ncbi.nlm.nih.gov/24643070/; usable_for_human_wholecell=mouse proxy; TC and cAMP accelerated trafficking in control; in LKB1-KO only cAMP (via PKA) restored trafficking, not taurocholate. Numeric rate constants NOT_REPORTED"
Track C,BSEP-loss,Cholic-acid feeding / DDC (systemic BA elevation),168,Serum total bile acids,~7,fold vs control,mean,NOT_REPORTED,NOT_REPORTED,mouse,mouse,"Abcb11(-/-)-context, DDC diet / cholic-acid feeding",colorimetric serum BA,24330504,10.1111/liv.12438,body text,[Track C]; substrate=NOT_REPORTED; temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4057995/; usable_for_human_wholecell=no (mouse; SERUM/systemic not intracellular hepatocyte); 1 week timepoint
Track C,BSEP-loss,Cholic-acid feeding / DDC,504,Serum total bile acids,~30,fold vs control,mean,NOT_REPORTED,NOT_REPORTED,mouse,mouse,"Abcb11-context, DDC diet",colorimetric serum BA,24330504,10.1111/liv.12438,body text,[Track C]; substrate=NOT_REPORTED; temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4057995/; usable_for_human_wholecell=no (mouse; serum); 3 week timepoint (peak)
Track C,BSEP-loss,Cholic-acid feeding / DDC,1008,Serum total bile acids,~15,fold vs control,mean,NOT_REPORTED,NOT_REPORTED,mouse,mouse,"Abcb11-context, DDC diet",colorimetric serum BA,24330504,10.1111/liv.12438,body text,[Track C]; substrate=NOT_REPORTED; temperature_C=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4057995/; usable_for_human_wholecell=no (mouse; serum); 6 week timepoint
Track D,Control/baseline,"tubercidin (methylation inhibitor), IFNgamma-pretreated primary mouse hepatocytes",NOT_REPORTED,20S proteasome chymotrypsin-like activity inhibition,53,% inhibition,mean,NOT_REPORTED,NOT_REPORTED,mouse,mouse,primary cultured mouse hepatocytes,fluorogenic Suc-LLVY-AMC cleavage (20S chymotrypsin-like),20026058,10.1016/j.bbrc.2009.12.074,Results text (Fig. referenced),[Track D]; measurement_class=activity; measure=proteasome_chymotrypsin_like_activity; substrate_condition=tubercidin; temperature=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2812660/; usable_for_human_wholecell=no (mouse; not bile-acid stress); p<0.05; IFNgamma-pretreated cells showed 53% vs 75% inhibition in untreated. Establishes hepatocyte proteasome activity assay/capacity readout.
Track D,Control/baseline,"tubercidin, untreated primary mouse hepatocytes",NOT_REPORTED,20S proteasome chymotrypsin-like activity inhibition,75,% inhibition,mean,NOT_REPORTED,NOT_REPORTED,mouse,mouse,primary cultured mouse hepatocytes,fluorogenic Suc-LLVY-AMC cleavage (20S chymotrypsin-like),20026058,10.1016/j.bbrc.2009.12.074,Results text,[Track D]; measurement_class=activity; measure=proteasome_chymotrypsin_like_activity; substrate_condition=tubercidin; temperature=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2812660/; usable_for_human_wholecell=no (mouse; not bile-acid stress); p<0.05. Ethanol (50 mM) also suppressed proteasome activity via SAM:SAH ratio ~2.5.
Track D,BSEP-loss,bile-acid treatment (cholestatic) of primary mouse hepatocytes; FXR-KO liver,NOT_REPORTED,autophagic flux (impaired) via impaired autophagosome-lysosome fusion,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,mouse,mouse,primary cultured mouse hepatocytes; FXR-knockout mouse liver,"LC3-II turnover / autophagic flux (bafilomycin), Rab7 immunoblot",24189133,10.1093/toxsci/kft246,Figures (quantitative values in figure bars),[Track D]; measurement_class=activity; measure=autophagic_flux; substrate_condition=bile acids (elevated hepatic BA in FXR-KO); temperature=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3908720/; usable_for_human_wholecell=no (mouse); directionally relevant to cholestasis; DIRECTION: BAs SUPPRESS autophagic flux by impairing autophagosome-lysosome fusion (reduced Rab7). Exact fold values reported only in figures = NOT_REPORTED.
Track D,BSEP-loss,bile-acid treatment of primary mouse hepatocytes,NOT_REPORTED,proteasome activity (unchanged by BAs),no change,qualitative,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,mouse,mouse,primary cultured mouse hepatocytes,proteasome activity assay,24189133,10.1093/toxsci/kft246,Abstract + figures,[Track D]; measurement_class=activity; measure=proteasome_activity; substrate_condition=bile acids; temperature=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3908720/; usable_for_human_wholecell=no (mouse); BAs did NOT affect cathepsin or proteasome activities; effect specific to autophagosome-lysosome fusion.
Track D,BSEP-loss,bile-acid treatment of primary mouse hepatocytes,NOT_REPORTED,cathepsin activity (unchanged by BAs),no change,qualitative,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,mouse,mouse,primary cultured mouse hepatocytes,cathepsin activity,24189133,10.1093/toxsci/kft246,Abstract + figures,[Track D]; measurement_class=marker_only; measure=cathepsin_activity; substrate_condition=bile acids; temperature=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3908720/; usable_for_human_wholecell=no (mouse); Lysosomal protease activity not altered by BAs.
Track E,BSEP-loss,Bile duct ligation (BDL) time-course,0;6;12;24;48;72,apoptosis_absent,no plasma caspase-3 activity at any time after BDL,qualitative (absent),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,mouse,mouse,"C57BL/6J mouse, in vivo BDL",Ac-DEVD-AMC caspase activity (zVAD-inhibitable),24096036,10.1016/j.taap.2013.09.023,Figs (time-course); Results,[Track E]; marker=plasma caspase-3 activity; co_measured_markers=cK18; FL-K18; miR-122; HMGB1; ALT; procaspase-3 western; study_defined_threshold=NOT_REPORTED; substrate_condition=BDL obstructive cholestasis; temperature=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3860754/; usable_for_human_wholecell=non-human proxy (mouse in vivo) - label; Positive control Gal/End showed caspase-3 at 6 h. Procaspase-3 protein seen only in high-injury BDL (24 h).
Track E,BSEP-loss,BDL time-course,0;6;12;24;48;72,apoptosis_marker,never exceeded sham level of <150 pmol/ml at any time,pmol/ml serum,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,mouse,mouse,C57BL/6J mouse in vivo BDL,mass spectrometry (absolute quant),24096036,10.1016/j.taap.2013.09.023,Figs,[Track E]; marker=caspase-cleaved cytokeratin-18 (cK18); co_measured_markers=FL-K18; caspase-3; miR-122; HMGB1; study_defined_threshold=NOT_REPORTED; substrate_condition=BDL; temperature=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3860754/; usable_for_human_wholecell=non-human proxy (mouse) - label; cK18 (apoptosis) flat = lack of apoptosis; sham reference <150 pmol/ml.
Track E,BSEP-loss,BDL time-course,0;6;12;24;48;72,necrosis_marker,"progressive increase up to 48 h, slight decline at 72 h",temporal (peak 48 h),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,mouse,mouse,C57BL/6J mouse in vivo BDL,mass spectrometry,24096036,10.1016/j.taap.2013.09.023,Figs,[Track E]; marker=full-length cytokeratin-18 (FL-K18); co_measured_markers=cK18; miR-122; HMGB1; ALT; study_defined_threshold=NOT_REPORTED; substrate_condition=BDL; temperature=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3860754/; usable_for_human_wholecell=non-human proxy (mouse) - label; FL-K18 (necrosis) rises = necrotic death dominant. Peak 48 h. Absolute values figure-based = NOT_REPORTED.
Track E,BSEP-loss,BDL time-course,0;6;12;24;48;72,necrosis_marker,"progressive increase up to 48 h, moderate decline after",temporal (peak 48 h),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,mouse,mouse,C57BL/6J mouse in vivo BDL,qRT-PCR,24096036,10.1016/j.taap.2013.09.023,Figs,[Track E]; marker=miR-122 (serum); co_measured_markers=FL-K18; cK18; HMGB1; ALT; study_defined_threshold=NOT_REPORTED; substrate_condition=BDL; temperature=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3860754/; usable_for_human_wholecell=non-human proxy - label; Necrosis/cell-death marker; kinetics parallel FL-K18.
Track E,BSEP-loss,BDL time-course,0;6;12;24;48;72,necrosis_inflammation_marker,"total HMGB1 up from 6 h, peak 48-72 h; acHMGB1 significant from 12 h, reaches ~10% of total at late times",temporal; acHMGB1 ~10% of total,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,mouse,mouse,C57BL/6J mouse in vivo BDL,immunoassay + mass spectrometry,24096036,10.1016/j.taap.2013.09.023,Figs,[Track E]; marker=total HMGB1 / acetylated HMGB1; co_measured_markers=FL-K18; miR-122; cK18; ALT; study_defined_threshold=NOT_REPORTED; substrate_condition=BDL; temperature=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3860754/; usable_for_human_wholecell=non-human proxy - label; HMGB1 passive-release necrosis marker; acHMGB1 = inflammatory activation.
Track E,BSEP-loss,BDL time-course,0;6;12;24;48;72,liver_injury,"rose steadily through first 24 h, subsided slightly at 48 & 72 h",temporal (peak ~24 h),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,mouse,mouse,C57BL/6J mouse in vivo BDL,ALT enzyme kit,24096036,10.1016/j.taap.2013.09.023,Figs,[Track E]; marker=plasma ALT; co_measured_markers=FL-K18; cK18; miR-122; HMGB1; study_defined_threshold=NOT_REPORTED; substrate_condition=BDL; temperature=NOT_REPORTED; url=https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3860754/; usable_for_human_wholecell=non-human proxy - label; Injury/bile infarcts peak 48-72 h; ALT peak ~24 h. Absolute values figure-based.
