track,condition_class,condition,time_h,endpoint,value,unit,mean_or_median,error,n,organism_bucket,organism,model,assay,pmid,doi,figure_table,notes
Track A,Control/baseline,see notes,NOT_REPORTED,absolute protein abundance,NOT_REPORTED,fmol/ug membrane protein (NOT_REPORTED - paywalled body),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,human/chimeric-mouse,uPA/SCID humanized-liver mouse vs human liver,targeted LC-MS/MS,24711249,10.1124/dmd.114.057646,Tables (not in accessible full text),[Track A]; transporter=BSEP; gene=ABCB11; quantity_type=total abundance (absolute); substrate_condition=none/see notes; temperature=NOT_REPORTED; url=https://doi.org/10.1124/dmd.114.057646; usable_for_human_wholecell=proxy/mixed - value NOT_REPORTED; Validation of humanized-liver mouse; transporter absolute quantification. Values NOT accessible (Elsevier paywall body).
Track B,Control/baseline,constitutive cycling (basal),NOT_REPORTED,single BSEP-YFP molecule canalicular membrane residence,transient (residing only transiently before exchanging with intracellular pool),qualitative,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,rat/human hybrid,WIF-B9 polarized hepatic cells (rat hepatoma x human fibroblast),"selective photobleaching / FRAP, live confocal imaging of BSEP-YFP",15121884,10.1091/mbc.e03-10-0737,Results/Fig 4-6,"[Track B]; substrate_condition=basal; temperature=37C; direct_url=https://pubmed.ncbi.nlm.nih.gov/15121884/; usable_for_human_wholecell=non-human/indirect proxy (WIF-B9 cell line); Numeric rate NOT_REPORTED. Exchange blocked by microtubule+actin inhibitors; UNAFFECTED by brefeldin A, dibutyryl-cAMP, taurocholate, PI3K inhibitors. rab11-positive recycling endosome pathway; carriers fuse only with canalicular (not basolateral) membrane"
Track B,Control/baseline,4PBA treatment vs control,NOT_REPORTED,cell-surface-resident BSEP half-life (prolonged by 4PBA),prolonged (numeric NOT_REPORTED in abstract; measured by biotinylation chase),h,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,dog (canine kidney) / human BSEP,MDCK II cells expressing human BSEP,cell-surface biotinylation degradation chase,17538928,10.1002/hep.21630,Results (half-life fig),[Track B]; substrate_condition=4-phenylbutyrate (clinically achievable conc.); temperature=37C; direct_url=https://pubmed.ncbi.nlm.nih.gov/17538928/; usable_for_human_wholecell=non-human cell line expressing HUMAN BSEP; 4PBA prolonged surface-resident BSEP half-life => increased functional surface expression of WT/E297G/D482G BSEP; also raised canalicular BSEP + [3H]TC biliary excretion in rats in vivo. Exact half-life values in figures (full text paywalled)
Track B,Control/baseline,chimeric ubiquitin-BSEP vs BSEP,NOT_REPORTED,degradation rate of surface-resident BSEP (ubiquitin fusion faster),faster with ubiquitin fusion (relative),qualitative,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,dog/human BSEP,MDCK II cells expressing BSEP,cell-surface biotinylation degradation chase,18829893,10.1124/mol.108.049288,Results,"[Track B]; substrate_condition=short-chain ubiquitination (2-3 ubiquitins); temperature=37C; direct_url=https://pubmed.ncbi.nlm.nih.gov/18829893/; usable_for_human_wholecell=non-human cell line expressing HUMAN BSEP; Mature BSEP shifts 170->190 kDa on ubiquitination (~8 kDa). Ubiquitination reduced by 4PBA, enhanced by PFIC2 mutants E297G/D482G. Ubiquitin-BSEP fusion degraded faster than BSEP. Exact k NOT_REPORTED in abstract"
Track B,Control/baseline,octanoic acid vs control,NOT_REPORTED,cell-surface-resident WT BSEP half-life (prolonged),prolonged (numeric NOT_REPORTED; paywalled body),h,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,dog/human BSEP,MDCK II cells expressing BSEP,cell-surface biotinylation degradation chase,20398791,10.1016/j.bbalip.2010.04.002,Results,[Track B]; substrate_condition=octanoic acid (medium-chain FA); temperature=37C; direct_url=https://pubmed.ncbi.nlm.nih.gov/20398791/; usable_for_human_wholecell=non-human cell line expressing HUMAN BSEP; Prolonged half-life of surface WT BSEP responsible for octanoic-acid-stimulated transport; butyrate acted by different mechanism
Track B,Control/baseline,HAX-1 depletion vs control (surface abundance),NOT_REPORTED,BSEP steady-state apical membrane level increase (HAX-1 RNAi),71,% increase,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,dog/rat BSEP,MDCK cells expressing BSEP,"apical surface quantification, pulse-chase",15159385,10.1074/jbc.M404337200,Abstract/Results,"[Track B]; substrate_condition=HAX-1 RNAi; temperature=37C; direct_url=https://pubmed.ncbi.nlm.nih.gov/15159385/; usable_for_human_wholecell=non-human cell line proxy; HAX-1 RNAi raised apical BSEP 71%. HAX-1 depletion did NOT change BSEP translation, post-translational modification, PM delivery, or half-life"
Track B,Control/baseline,HAX-1 depletion (metabolic labeling retention),4,apical BSEP metabolically-labeled peak time & retention,"peak at 4 h, enhanced retention at 6 and 9 h",h,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,dog/rat BSEP,MDCK cells expressing BSEP,pulse-chase metabolic labeling of apical BSEP,15159385,10.1074/jbc.M404337200,Abstract/Results,[Track B]; substrate_condition=HAX-1 RNAi; temperature=37C; direct_url=https://pubmed.ncbi.nlm.nih.gov/15159385/; usable_for_human_wholecell=non-human cell line proxy; HAX-1/cortactin participate in BSEP internalization from apical membrane; dominant-negative cortactin or EPS15 raised steady-state apical BSEP 2-fold
Track B,Control/baseline,UDCA vs control (cell-surface BSEP),NOT_REPORTED,cell-surface-resident BSEP half-life prolongation by UDCA,prolonged (stabilization; numeric NOT_REPORTED in abstract),h,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,dog/human BSEP,MDCK II cells expressing BSEP,cell-surface biotinylation degradation chase,23722250,10.1007/s00535-013-0833-y,Results,[Track B]; substrate_condition=ursodeoxycholic acid; temperature=37C; direct_url=https://pubmed.ncbi.nlm.nih.gov/23722250/; usable_for_human_wholecell=non-human cell line expressing HUMAN BSEP; UDCA stabilizes BSEP in apical membrane (reduced internalization/degradation). Exact half-life values in full text (paywalled)
Track B,Control/baseline,CHMP5 knockdown vs control (temp-shift),NOT_REPORTED,post-Golgi BSEP plasma-membrane targeting (decreased on ESCRT-III perturbation),significantly decreased PM targeting (P=0.0286),qualitative/p-value,NOT_REPORTED,NOT_REPORTED,98-131 cells counted,other,human,HepG2 / Huh7 cells + hydrodynamic-injection mouse,temperature-shift assay (40C ER -> 30C Golgi -> 37C post-Golgi release) + immunostaining + subcellular fractionation,33750401,10.1186/s12929-020-00706-2,Fig 4a; Fig for R487H/N490D,"[Track B]; substrate_condition=si-CHMP5 vs si-CTL; temperature=40/30/37C sequential; direct_url=https://pubmed.ncbi.nlm.nih.gov/33750401/; usable_for_human_wholecell=human cell line + mouse in vivo proxy; ESCRT-III (CHMP5) required for post-Golgi apical BSEP sorting, preceding Rab11A-regulated apical cycling. Cholestatic mutants in CHMP5-interaction region retained at subapical compartments. Kinetic rate NOT_REPORTED (staged temp-shift, not continuous kinetics)"
Track B,MRP2-loss,ubiquitination role in surface BSEP vs MRP2 degradation,NOT_REPORTED,differential degradation mechanism of surface-resident BSEP and MRP2,differential (BSEP internalized+degraded via ubiquitination; MRP2 differs) - qualitative,qualitative,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,dog/human,MDCK II cells expressing human BSEP or MRP2,cell-surface biotinylation degradation chase + ubiquitination,24378332,10.1124/mol.113.091090,Results,[Track B]; substrate_condition=basal / ubiquitination modulation; temperature=37C; direct_url=https://pubmed.ncbi.nlm.nih.gov/24378332/; usable_for_human_wholecell=non-human cell line expressing HUMAN transporters; Differential roles of ubiquitination in degradation of surface BSEP vs MRP2. Exact degradation rate constants NOT_REPORTED in abstract (full text paywalled)
