track,category,condition,time_h,endpoint,value,unit,mean_or_median,error,n,organism_bucket,organism,model,assay,substrate_condition,temperature,pmid,doi,url,figure_table,usable_for_human_wholecell,notes
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Peroxiredoxin 2 + H2O2 second-order rate constant,1.3e7 (1.3 x10^7),M^-1 s^-1,mean,NOT_REPORTED,NOT_REPORTED,human,human,purified erythrocyte Prx2 protein,competition kinetics vs horseradish peroxidase; dimerization inhibition,pH 7.4,NOT_REPORTED,17329258,10.1074/jbc.M700339200,https://pubmed.ncbi.nlm.nih.gov/17329258,Abstract,usable (human Prx2 rate constant; hepatocyte-expressed antioxidant),"Peskin/Winterbourn. 1.3e7 M-1s-1, ~100x faster than previously assumed; comparable to catalase & GPx."
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Peroxiredoxin 2 hyperoxidation (sulfenic + H2O2) rate constant,12000 (1.2 x10^4),M^-1 s^-1,mean,NOT_REPORTED,NOT_REPORTED,human,human,recombinant Prx2,mass spectrometry vs [H2O2]; competition with catalase,no reductive cycling,NOT_REPORTED,23543738,10.1074/jbc.M113.460881,https://pubmed.ncbi.nlm.nih.gov/23543738,Abstract,usable (human Prx2 hyperoxidation kinetics),Also disulfide formation rate constant = 2 s^-1 for Prx2; Prx3 disulfide ~10x higher.
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Peroxiredoxin 2 disulfide formation rate constant,2,s^-1,mean,NOT_REPORTED,NOT_REPORTED,human,human,recombinant Prx2,MS product analysis vs [H2O2],no reductive cycling,NOT_REPORTED,23543738,10.1074/jbc.M113.460881,https://pubmed.ncbi.nlm.nih.gov/23543738,Abstract,usable (human Prx2),Prx3 rate of disulfide formation ~10-fold higher than Prx2 (more resistant to hyperoxidation).
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Human thioredoxin glutathione reductase (TGR) kinetic characterization,NOT_REPORTED,NOT_REPORTED (kcat/Km in tables),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,human,human,recombinant hTGR (wild-type & mutants),"kinetics with Trx, DTNB, HED, GSSG substrates",Trx / DTNB / HED / GSSG,NOT_REPORTED,29222842,10.1111/febs.14357,https://pubmed.ncbi.nlm.nih.gov/29222842,tables in full text,usable (human enzyme) but values NOT_REPORTED in abstract,Selenoprotein linking Trx & GSH systems; reduces GSSG. Numeric kcat/Km in tables not in abstract = NOT_REPORTED.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Postabsorptive, healthy normal subjects",NOT_REPORTED,Endogenous (hepatic) glucose production (EGP),85.6,mg·m^-2·min^-1,mean,±3.9 (SEM),10,human,human,whole-body in vivo (healthy volunteers),"[6,6-2H2]glucose dideuterated tracer, non-steady-state","post-absorptive, endogenous",NOT_REPORTED,8904352,10.1046/j.1365-2362.1996.134272.x,https://pubmed.ncbi.nlm.nih.gov/8904352/,Results/Abstract,human (directly usable),"EGP with matched priming dose. NIDDM 80.2±14.4 (n=10), NS vs controls."
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"NIDDM (type 2 diabetes), post-absorptive",NOT_REPORTED,Endogenous glucose production (EGP),80.2,mg·m^-2·min^-1,mean,±14.4 (SEM),10,human,human,whole-body in vivo (NIDDM),"[6,6-2H2]glucose tracer, matched priming","post-absorptive, endogenous",NOT_REPORTED,8904352,10.1046/j.1365-2362.1996.134272.x,https://pubmed.ncbi.nlm.nih.gov/8904352/,Results/Abstract,human (directly usable),Non-adapted priming overestimated EGP at 178.1±24.0 (methodological artifact).
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Post-absorptive (overnight fast), healthy",NOT_REPORTED,Endogenous (hepatic) glucose production,2.34,mg·min^-1·kg^-1,mean,±0.06 (SEM),11,human,human,whole-body in vivo (hepatic venous catheter),3H-glucose infusion + double-tracer,"post-absorptive, endogenous",NOT_REPORTED,3891471,10.2337/diab.34.6.580,https://pubmed.ncbi.nlm.nih.gov/3891471/,Results/Abstract,human (directly usable),After oral glucose EGP nadir 0.62±0.23 at 45 min; 0.85±0.22 at 3.5 h; avg 53±5% inhibition.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Fasting (overnight), healthy",NOT_REPORTED,Glucose turnover (Ra ≈ EGP),1.88,mg·min^-1·kg^-1,mean,±0.1 (SEM),4,human,human,whole-body in vivo,[U-13C]glucose constant infusion,post-absorptive; glucose-infusion arm 4.0±0.08,NOT_REPORTED,2848653,10.1042/cs0750363,https://pubmed.ncbi.nlm.nih.gov/2848653/,Results/Abstract,human (directly usable),Gut-derived acetate had no effect on glucose turnover.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Overnight fast (17 h), lean nondiabetic",17,Fractional GNG contribution to glucose production (%GNG_PEP),NOT_REPORTED,% of glucose production,mean,NOT_REPORTED,19 lean (10M/9F),human,human,whole-body in vivo,2H2O + 2H NMR of plasma glucose; 3H-glucose kinetics,"post-absorptive, 17-h fast",NOT_REPORTED,16505230,10.2337/diabetes.55.03.06.db05-1117,https://pubmed.ncbi.nlm.nih.gov/16505230/,Results/Abstract,human (directly usable) — fractional,EGP not different lean vs obese; %GNG_PEP & GNG_PEP flux higher in obese (n=16). Absolute flux values in tables=NOT_REPORTED in abstract.
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"16-h fast, healthy",16,GNG fractional contribution to glucose production,54,% of glucose production,mean,±4,5,human,human,whole-body in vivo,2H2O ingestion (~0.5% body water) + 2H NMR,"post-absorptive, 16-h fast; glucose 87±7 mg/dl",NOT_REPORTED,12633904,10.1016/s0925-4439(03)00018-8,https://pubmed.ncbi.nlm.nih.gov/12633904/,Results/Abstract,human (directly usable) — fractional,Glycogenolysis 46±4%.
