track,category,condition,time_h,endpoint,value,unit,mean_or_median,error,n,organism_bucket,organism,model,assay,substrate_condition,temperature,pmid,doi,url,figure_table,usable_for_human_wholecell,notes
Organelle cycles,Normalize organelle function cycles,"in vivo, control (ad libitum)",NOT_REPORTED,mitochondrial half-life (whole-organelle turnover),1.83,days,median,NOT_REPORTED,NOT_REPORTED,mouse,mouse,"C57BL/6 liver, in vivo",14C-NaHCO3 pulse-chase + dynamic model (corrects label re-utilization),basal,NOT_REPORTED,18691181,10.1111/j.1474-9726.2008.00426.x,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2659384/,Abstract; Results (posterior median),"non-human proxy (mouse liver, in vivo)",Re-utilization-corrected value
Organelle cycles,Normalize organelle function cycles,"in vivo, dietary restriction 3 mo",NOT_REPORTED,mitochondrial half-life (whole-organelle turnover),1.16,days,median,NOT_REPORTED,NOT_REPORTED,mouse,mouse,"C57BL/6 liver, in vivo",14C-NaHCO3 pulse-chase + dynamic model,dietary restriction,NOT_REPORTED,18691181,10.1111/j.1474-9726.2008.00426.x,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2659384/,Abstract; Results,"non-human proxy (mouse liver, in vivo)",DR accelerates turnover
Organelle cycles,Normalize organelle function cycles,"in vivo, control",NOT_REPORTED,whole mitochondrial protein half-life (14C-bicarbonate label),3.1,days,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,"rat liver, in vivo","[14C]bicarbonate incorporation, decay",basal,NOT_REPORTED,2986708,10.1016/0304-4165(85)90169-2,https://pubmed.ncbi.nlm.nih.gov/2986708/,Abstract,non-human proxy (rat liver),14C-bicarbonate label
Organelle cycles,Normalize organelle function cycles,"in vivo, control",NOT_REPORTED,whole mitochondrial protein half-life (35S-methionine label),8.5,days,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,"rat liver, in vivo","[35S]methionine incorporation, decay",basal,NOT_REPORTED,2986708,10.1016/0304-4165(85)90169-2,https://pubmed.ncbi.nlm.nih.gov/2986708/,Abstract,non-human proxy (rat liver),Label-dependent value
Organelle cycles,Normalize organelle function cycles,"in vivo, control",NOT_REPORTED,cytochrome oxidase half-life,10.8,days,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,"rat liver, in vivo",isotope incorporation/decay,basal,NOT_REPORTED,2986708,10.1016/0304-4165(85)90169-2,https://pubmed.ncbi.nlm.nih.gov/2986708/,Abstract,non-human proxy (rat liver),Inner-membrane enzyme
Organelle cycles,Normalize organelle function cycles,serum-deprived (nonproliferating),NOT_REPORTED,composite inner mitochondrial membrane protein half-life,34,h,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,Reuber H35 hepatoma monolayer culture,"dual [3H]/[35S]methionine pulse-chase, 2-day chase",serum-deprived,37 C (culture),6460769,NOT_REPORTED,https://pubmed.ncbi.nlm.nih.gov/6460769/,Abstract,"non-human, transformed proxy (rat hepatoma)",First-order
Organelle cycles,Normalize organelle function cycles,serum-deprived,NOT_REPORTED,inner-membrane polypeptide half-life range,20 to 100+,h,range,NOT_REPORTED,33 polypeptides,rat,rat,Reuber H35 hepatoma culture,dual-isotope pulse-chase 2D gels,serum-deprived,NOT_REPORTED,6460769,NOT_REPORTED,https://pubmed.ncbi.nlm.nih.gov/6460769/,Abstract,"non-human, transformed proxy",cyt b-c1 subunits 39-42 h vs others 94+ h
Organelle cycles,Normalize organelle function cycles,"in vivo, basal diet",NOT_REPORTED,mitochondrial fraction protein degradation rate constant (kd),0.135,/day,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,"rat liver, in vivo",double-isotope [14C/3H]leucine,basal diet,NOT_REPORTED,6216105,10.1111/j.1432-1033.1982.tb06866.x,https://pubmed.ncbi.nlm.nih.gov/6216105/,Abstract,non-human proxy (rat liver),"~t1/2 5.1 d (derived, not stated by authors)"
Organelle cycles,Normalize organelle function cycles,"in vivo, basal diet",NOT_REPORTED,mitochondrial ATPase (F1) degradation rate constant (kd),0.275,/day,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,"rat liver, in vivo",double-isotope leucine,basal diet,NOT_REPORTED,6216105,10.1111/j.1432-1033.1982.tb06866.x,https://pubmed.ncbi.nlm.nih.gov/6216105/,Abstract,non-human proxy (rat liver),Increases on high-protein diet
Organelle cycles,Normalize organelle function cycles,"in vivo, basal diet",NOT_REPORTED,liver homogenate protein degradation rate constant (kd),0.195,/day,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,rat,rat,"rat liver, in vivo",double-isotope leucine,basal diet,NOT_REPORTED,6216105,10.1111/j.1432-1033.1982.tb06866.x,https://pubmed.ncbi.nlm.nih.gov/6216105/,Abstract,non-human proxy,Whole-cell reference
