track,category,condition,time_h,endpoint,value,unit,mean_or_median,error,n,organism_bucket,organism,model,assay,substrate_condition,temperature,pmid,doi,url,figure_table,usable_for_human_wholecell,notes
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Mitochondrial H2O2 production rate (maximal),~20,nmol/min/mg mitochondrial protein,mean,NOT_REPORTED,NOT_REPORTED,other,pigeon (bird),isolated heart mitochondria,spectrophotometric (cytochrome c peroxidase / scopoletin),succinate-glutamate or malate-glutamate; +antimycin A,NOT_REPORTED,4749271,10.1042/bj1340707,https://pubmed.ncbi.nlm.nih.gov/4749271,Abstract; text,non-human proxy (avian heart mito),"Classic Boveris-Chance. Max rate ~20 nmol/min/mg with succinate/malate-glutamate + antimycin A. Not liver, not human."
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,Cytosolic glutathione redox potential E_GSH (typical),more negative than -310,mV,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,general/plant (roGFP2 probe characterization),roGFP2-based probes (in vitro + in vivo),roGFP2 / GRX1-roGFP2 redox-sensitive GFP,steady-state cytosol,NOT_REPORTED,24379821,10.3389/fpls.2013.00506,https://pubmed.ncbi.nlm.nih.gov/24379821,Abstract,"indirect proxy (probe range, not hepatocyte-specific)",Cytosolic E_GSH normally < -310 mV; roGFP1/2 midpoint -280 to -290 mV; roGFP2-iL midpoint -238 mV. Not hepatocyte-measured.
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,"Cu,Zn-SOD catalytic rate constant kcat (low ionic strength)",2.82e9 (2.82 +/- 0.02 x10^9),M^-1 s^-1,mean,+/-0.02 x10^9 (SD),NOT_REPORTED,other,bovine (enzyme),"purified Cu,Zn-SOD",pulse radiolysis,low ionic strength (2-15 mM),NOT_REPORTED,16934676,10.1016/j.freeradbiomed.2006.05.026,https://pubmed.ncbi.nlm.nih.gov/16934676,Abstract,"proxy (CuZn-SOD kcat, near-diffusion-limited, species-conserved)",kcat=2.82e9 M-1s-1 low ionic strength; 1.30e9 M-1s-1 in 50 mM phosphate pH 7.8 (I~150 mM).
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,"Cu,Zn-SOD catalytic rate constant kcat (physiological ionic strength)",1.30e9 (1.30 +/- 0.02 x10^9),M^-1 s^-1,mean,+/-0.02 x10^9 (SD),NOT_REPORTED,other,bovine (enzyme),"purified Cu,Zn-SOD",pulse radiolysis,"50 mM phosphate, pH 7.8, I~150 mM",NOT_REPORTED,16934676,10.1016/j.freeradbiomed.2006.05.026,https://pubmed.ncbi.nlm.nih.gov/16934676,Abstract,proxy (near-physiological ionic strength kcat),Physiologically relevant ionic-strength value for whole-cell modeling.
Redox/ROS,Redox / ROS kinetics,NOT_REPORTED,NOT_REPORTED,"Cu,Zn-SOD (bovine liver) inactivation by H2O2",NOT_REPORTED,NOT_REPORTED (rate constants in full text),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,bovine liver,"purified Cu,Zn-SOD","electrophoresis, pH dependence","H2O2/active site molar ratios 0.2-20, pH 7.3-10",NOT_REPORTED,2714271,10.1111/j.1432-1033.1989.tb14683.x,https://pubmed.ncbi.nlm.nih.gov/2714271,Abstract/full text,proxy (SOD self-inactivation kinetics),"Liver enzyme, H2O2-dependent inactivation; quantitative rate constants require full text = NOT_REPORTED."
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,Cultured rabbit fetal/newborn hepatocytes ± glucagon/cAMP,NOT_REPORTED,Ketogenesis from oleate (induction),NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,rabbit,primary cultured hepatocytes (fetal/newborn),"[1-14C]oleate (0.5 mM), 4-day culture","±glucagon 1e-6 M, forskolin, dbcAMP, 8-Br-cAMP, insulin",NOT_REPORTED,2557835,10.1042/bj2640093,https://pubmed.ncbi.nlm.nih.gov/2557835/,Results/Abstract,rabbit (non-human proxy); absolute ketogenesis rate NOT_REPORTED in abstract,"Oleate oxidation basal 12.7±1.6% → glucagon 50.0±5.5, forskolin 70.6±5.4, cAMP 77.5±3.4% of oleate metabolized. Fetal hepatocyte ketogenesis low until 48-h glucagon/cAMP."
GNG/Ketogenesis,Gluconeogenesis & ketogenesis absolute rates,"Isolated bovine hepatocytes, lactate/propionate",NOT_REPORTED,Glucose synthesis (gluconeogenesis) method,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,other,other (bovine),isolated hepatocytes (calf liver),14C-lactate/propionate + ion-exchange separation,14C-lactate or 14C-propionate ± glucagon,NOT_REPORTED,15539291,10.1016/s0955-2863(98)00096-5,https://pubmed.ncbi.nlm.nih.gov/15539291/,Results/Abstract,bovine (non-human proxy); absolute rate NOT_REPORTED in abstract,Methods paper; sensitive to substrate concentration and glucagon. No absolute rate in abstract.
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP baculovirus Sf9 vesicle, ATP-dependent uptake",NOT_REPORTED,Km,7.9,umol/L,mean,SD 2.1,NOT_REPORTED,other,human,Sf9 insect cell membrane vesicle (recombinant hBSEP),rapid filtration ATP-dependent vesicular transport,taurocholate,NOT_REPORTED,12404240,10.1053/gast.2002.36587,https://pubmed.ncbi.nlm.nih.gov/12404240/,Abstract (Table in text),human recombinant single-transporter Km — usable,Vmax not reported in abstract
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP baculovirus Sf9 vesicle, ATP-dependent uptake",NOT_REPORTED,Km,11.1,umol/L,mean,SD 3.3,NOT_REPORTED,other,human,Sf9 insect cell membrane vesicle (recombinant hBSEP),rapid filtration ATP-dependent vesicular transport,glycocholate,NOT_REPORTED,12404240,10.1053/gast.2002.36587,https://pubmed.ncbi.nlm.nih.gov/12404240/,Abstract (Table in text),human recombinant single-transporter Km — usable,Vmax not reported in abstract
Transporter flux,Absolute BSEP/MRP2/GLUT2 transport flux,"human BSEP baculovirus Sf9 vesicle, ATP-dependent uptake",NOT_REPORTED,Km,4.8,umol/L,mean,SD 1.7,NOT_REPORTED,other,human,Sf9 insect cell membrane vesicle (recombinant hBSEP),rapid filtration ATP-dependent vesicular transport,taurochenodeoxycholate,NOT_REPORTED,12404240,10.1053/gast.2002.36587,https://pubmed.ncbi.nlm.nih.gov/12404240/,Abstract (Table in text),human recombinant single-transporter Km — usable,Vmax not reported in abstract
